row_position,date,spot_price,strike,moneyness,choice_time_years,actual_heston_synthetic_price,predicted_price_usd,absolute_error_usd,base_value_ratio,base_value_usd,reconstructed_price_usd,contract_terms_signed_contribution_usd,contract_terms_absolute_contribution_usd,historical_volatility_signed_contribution_usd,historical_volatility_absolute_contribution_usd,vix_core_signed_contribution_usd,vix_core_absolute_contribution_usd,vix_interaction_signed_contribution_usd,vix_interaction_absolute_contribution_usd,news_sentiment_signed_contribution_usd,news_sentiment_absolute_contribution_usd,other_market_signed_contribution_usd,other_market_absolute_contribution_usd
0,2023-12-18,166.23,149.607,0.9,0.25,27.16843430255536,27.45345315879909,0.28501885624372747,0.1645836165375544,27.358734577037666,27.45345315879909,4.021002837760718,5.83411065884857,-3.807323402999757,3.807323402999757,-0.5003661912718592,0.5003661912718592,-0.05889973071735889,0.05889973071735889,-0.10161790314125532,0.1501502723213096,0.541922972130934,0.7777982596617337
1,2023-12-18,166.23,149.607,0.9,0.5,28.35063487256971,28.63686492072968,0.2862300481599682,0.1645836165375544,27.358734577037666,28.636864920729693,5.641422789996574,5.641422789996574,-4.052571596931802,4.052571596931802,-0.542610722736757,0.542610722736757,-0.10313936441661616,0.10313936441661616,-0.1007855943493967,0.1467508368091905,0.4358148321300239,0.726974230226423
2,2023-12-18,166.23,166.23,1.0,0.25,17.302395243790453,18.103246133701244,0.8008508899107909,0.1645836165375544,27.358734577037666,18.103246133701255,-3.7741741627739147,3.7741741627739147,-5.016945931362522,5.016945931362522,-0.4580441863022432,0.47540328806095866,-0.046299494311693466,0.046299494311693466,-0.11075156241568346,0.15710797008795035,0.15072689382964455,0.38432917786657617
3,2023-12-18,166.23,166.23,1.0,0.5,19.518035606649416,20.203631723005905,0.6855961163564892,0.1645836165375544,27.358734577037666,20.203631723005905,-1.3884181548324388,3.59727990579339,-5.175285222335564,5.175285222335564,-0.4856009220764284,0.5063814840139566,-0.0619231493416395,0.0619231493416395,-0.11632605567209796,0.16129653294536495,0.07245065022640948,0.35354692684226596
4,2023-12-18,166.23,182.853,1.1,0.25,16.739587807029025,18.161510515535166,1.4219227085061412,0.1645836165375544,27.358734577037666,18.161510515535163,-3.146723689891835,3.146723689891835,-5.2327839371912725,5.2327839371912725,-0.4907583658442054,0.5041658145638762,-0.049949084572992505,0.049949084572992505,-0.11525027109695969,0.1498723102124253,-0.16175871290523747,0.48624269521537317
5,2023-12-18,166.23,182.853,1.1,0.5,19.268979838485052,19.956726997132666,0.687747158647614,0.1645836165375544,27.358734577037666,19.956726997132666,-1.1393540052346125,3.1555186758667437,-5.399163688114566,5.399163688114566,-0.5085326729685349,0.5253615818670184,-0.06382826972902664,0.06382826972902664,-0.12144004431983055,0.1566684689434903,-0.1696888995384307,0.5442288966748862
6,2024-02-01,173.73,156.357,0.9,0.25,27.47324099187152,28.824873569521316,1.351632577649795,0.1645836165375544,28.593111701069326,28.824873569521266,4.262752101016823,6.198386810199367,-4.03699954557328,4.03699954557328,-0.37105388591819416,0.3788896245896683,-0.0887184758866083,0.0887184758866083,-0.11190378566229567,0.1523288369416984,0.5776854604754947,0.6979614567254805
7,2024-02-01,173.73,156.357,0.9,0.5,28.400906952650487,30.171745895926584,1.7708389432760967,0.1645836165375544,28.593111701069326,30.17174589592656,6.019648298266598,6.019648298266598,-4.287692991694478,4.287692991694478,-0.3905874314736295,0.3905874314736295,-0.13220901941553762,0.13220901941553762,-0.114705393325433,0.15534974856698222,0.4841807324997123,0.6010145717965767
8,2024-02-01,173.73,173.73,1.0,0.25,17.512350818597174,18.824125271213607,1.311774452616433,0.1645836165375544,28.593111701069326,18.824125271213607,-3.972190074938153,3.972190074938153,-5.339088311800225,5.339088311800225,-0.40743623898101283,0.40743623898101283,-0.06154863522754881,0.06154863522754881,-0.11346337236984597,0.14824399102274075,0.12474020346106818,0.23672849378923946
9,2024-02-01,173.73,173.73,1.0,0.5,18.746953767969146,21.009035589508915,2.2620818215397698,0.1645836165375544,28.593111701069326,21.009035589508905,-1.4893864925642961,3.8001733994885316,-5.506182154984585,5.506182154984585,-0.42635893857797413,0.42635893857797413,-0.07802084639199901,0.07802084639199901,-0.11975865363842371,0.16030018691728137,0.03563097459685878,0.13919681396265074
10,2024-02-01,173.73,191.103,1.1,0.25,17.11860092325262,18.830263992041978,1.7116630687893561,0.1645836165375544,28.593111701069326,18.83026399204195,-3.344003536198752,3.344003536198752,-5.574437124901256,5.574437124901256,-0.44693861991368244,0.44693861991368244,-0.06609071619842416,0.06609071619842416,-0.1091641098375146,0.15042062522054714,-0.22221360197774637,0.345841447931858
11,2024-02-01,173.73,191.103,1.1,0.5,17.244636614735068,20.715923196775677,3.4712865820406087,0.1645836165375544,28.593111701069326,20.715923196775655,-1.2467749513226811,3.3614324606192785,-5.7454578884724645,5.7454578884724645,-0.4556375251934961,0.4556375251934961,-0.08073975013135949,0.08073975013135949,-0.11650886111941612,0.16282548115178866,-0.2320695280542498,0.35823280368382854
