feature_group,feature_count,mean_group_absolute_shap_ratio,mean_group_absolute_shap_usd,mean_group_signed_shap_ratio,mean_group_signed_shap_usd,share_of_total_group_amplitude
contract_terms,3,0.02345063934451436,4.777053606910115,0.00010388143116877958,0.018441288220404365,0.44317944042665175
historical_volatility,2,0.021053351605153103,4.246161855181864,-0.012096887651678802,-2.06054216081193,0.3939272593086269
other_market,11,0.003568255955807335,0.7585528396837765,-0.0003610493837997407,-0.10643841257265724,0.07037288058455511
vix_core,3,0.0028504909744756935,0.59793029634504,-0.002761666824715994,-0.5791942217512572,0.055471517791850264
news_sentiment,10,0.0013947308133755389,0.30380342127013477,-0.0010748787702354987,-0.23498115709657774,0.028184617824560675
vix_interaction,1,0.00044911723021959915,0.09554856632941029,9.466067317730239e-05,0.029841583885286595,0.008864284063755043
