date,contracts,actual_heston_synthetic_price,predicted_price_usd,absolute_error_usd,contract_terms_signed_contribution_usd,contract_terms_absolute_contribution_usd,historical_volatility_signed_contribution_usd,historical_volatility_absolute_contribution_usd,vix_core_signed_contribution_usd,vix_core_absolute_contribution_usd,vix_interaction_signed_contribution_usd,vix_interaction_absolute_contribution_usd,news_sentiment_signed_contribution_usd,news_sentiment_absolute_contribution_usd,other_market_signed_contribution_usd,other_market_absolute_contribution_usd
2023-12-18,6,21.391344611846502,22.085905574817293,0.6945609629707885,0.03562593583741517,4.191538313861838,-4.780678963155914,4.780678963155914,-0.49765217686667135,0.5090481804190711,-0.06400651551488785,0.06400651551488785,-0.11102857183253728,0.15364106521995516,0.14491128931222397,0.5455200310812097
2024-02-01,6,21.082781678179334,23.062661252498014,1.9798795743186766,0.03834089070992323,4.449305763285113,-5.081643002904381,5.081643002904381,-0.4163354400096648,0.41764139645491055,-0.08455457387524623,0.08455457387524623,-0.11425069599215483,0.1549114783035064,0.12799237350018963,0.396495931314939
2024-03-15,6,23.64406240397666,25.02592110705217,1.3818587030755143,0.04071241311103332,4.76018705355314,-5.5970141842618375,5.5970141842618375,-0.45819167156931867,0.45819167156931867,-0.08190154034873988,0.08190154034873988,-0.03717768287710734,0.09465422285410457,-0.1607684540984662,0.6318453458988148
2024-04-29,6,27.29244367946883,27.380066846400393,1.1251089159023582,0.033318263901529366,4.610293772203725,-4.256427819924059,4.256427819924059,-0.4272339837464023,0.4272339837464023,0.052123811449074194,0.052123811449074194,-0.20082123485309397,0.2083341247270217,0.36838640519481186,0.6366174975542133
2024-06-11,6,29.38213511166352,29.1590402489977,1.1645366910673556,0.02143621645795213,4.431061361250394,-2.1291218389653195,2.1291218389653195,-0.5326903305745325,0.5326903305745325,0.013916263090470955,0.024658393714102795,-0.13661815212202952,0.21108648712862868,-0.06635361912792548,0.5159503302888196
2024-07-25,6,30.556835652700602,29.691809051157488,0.8650266015431196,0.0344042991366121,4.874156038478972,-4.134942533415979,4.134942533415979,-0.47981712552671163,0.47981712552671163,-0.08782963840458922,0.08782963840458922,-0.18838704801490028,0.2189166251800985,0.20471783449156777,0.5299450511987464
2024-09-06,6,30.52635292288512,31.193940898644517,1.0712550286266371,0.025829759460761603,4.739153986024507,-3.377414534951278,3.377414534951278,-0.29324129399540627,0.43114578317023944,0.0948467597603266,0.0948467597603266,-0.15726365927022534,0.2002820354616686,-0.06625294776464814,0.6350326579043767
2024-10-18,6,35.62503250822908,34.3872004293577,1.3134329369278817,0.021902834633640955,5.1448217951409765,-2.1179931425264087,2.1179931425264087,-0.4683541702252761,0.505108466990626,0.022160530737172324,0.03190368826785122,-0.19755940809767125,0.2817156666320015,0.034834125767579605,0.453697075311053
2024-12-02,6,44.38800593335235,44.926349102715506,1.3274121177630949,-0.03357071747193208,5.1653203159722,7.279377732267221,7.279377732267221,-1.3074767798142026,1.3074767798142026,0.23014618953541802,0.23014618953541802,-0.6109042303057467,0.8105170590440753,-1.159938663868009,1.8940468421511587
2024-12-31,6,40.815382990621934,41.21404198270441,1.2216304422290858,-0.033587013572892364,5.4046976693302815,3.590436679718655,3.7070047994462487,-0.9109492451843858,0.9109492451843858,0.20351455242386704,0.20351455242386704,-0.5958008876003107,0.7039754481502873,-0.49191246913389647,1.3463776341344342
