feature,pretest_min,pretest_max,pretest_observations
daily_return,-0.0349387900991867,0.0403795233892321,288
log_return,-0.035563749705716,0.0395855729196609,288
intraday_return,-0.0339912136224562,0.0277874868926949,288
high_low_range,0.0059064062684598,0.0457051961823966,288
volume_change,-0.5702392012119082,1.0206943430427229,288
volume_to_ma20_ratio,0.5757148420075644,2.4466203700738007,288
close_to_ma20_ratio,0.9028829116325617,1.1386467570561276,288
close_to_ma60_ratio,0.812727853103339,1.164437294930331,288
rolling_vol_20,0.1091597438862789,1.2634015709521338,288
rolling_vol_60,0.1403045402551591,0.9200764202245474,288
vix,10.93,43.35,288
vix_change,-0.1946284032376747,0.2585330428467682,288
vix_ma_20,12.4935,61.04100000000001,288
treasury_10y,0.66,4.57,288
treasury_10y_change,-0.1200000000000001,0.1099999999999998,288
treasury_10y_momentum_20,-0.5300000000000002,0.71,288
jpm_vix_corr_20,-0.8322766203155701,0.2604669884460108,288
moneyness,0.9,1.1,288
choice_time_years,0.25,0.5,288
maturity_years,1.0,1.0,288
