family,candidate_number,mae,rmse,r2,parameters
random_forest,28,3.143302738829525,4.607641902490959,0.11448835361907944,"{""n_estimators"": 800, ""min_samples_leaf"": 2, ""max_features"": 0.7, ""max_depth"": 12}"
gbdt,23,3.1639594892423095,4.608672865188022,0.03409073362504697,"{""subsample"": 0.8, ""n_estimators"": 500, ""min_samples_leaf"": 3, ""max_depth"": 4, ""loss"": ""huber"", ""learning_rate"": 0.07}"
gbdt,11,3.0704613974221564,4.621786782978209,0.14483224181122262,"{""subsample"": 1.0, ""n_estimators"": 700, ""min_samples_leaf"": 2, ""max_depth"": 1, ""loss"": ""huber"", ""learning_rate"": 0.04}"
random_forest,14,3.1661670395572146,4.632534719975839,0.10772888592948004,"{""n_estimators"": 300, ""min_samples_leaf"": 3, ""max_features"": 0.7, ""max_depth"": null}"
gbdt,37,3.2990278153926877,4.635744129546514,0.17011083573598143,"{""subsample"": 0.8, ""n_estimators"": 200, ""min_samples_leaf"": 5, ""max_depth"": 1, ""loss"": ""huber"", ""learning_rate"": 0.02}"
random_forest,2,3.1730757575412674,4.647213722566856,0.0924480122497395,"{""n_estimators"": 800, ""min_samples_leaf"": 3, ""max_features"": 0.7, ""max_depth"": 8}"
gbdt,7,3.1879267662403676,4.652989482931138,0.12428695060013026,"{""subsample"": 1.0, ""n_estimators"": 200, ""min_samples_leaf"": 8, ""max_depth"": 1, ""loss"": ""huber"", ""learning_rate"": 0.07}"
gbdt,13,3.190330878287055,4.666769478558726,0.00653924124657182,"{""subsample"": 1.0, ""n_estimators"": 200, ""min_samples_leaf"": 5, ""max_depth"": 3, ""loss"": ""huber"", ""learning_rate"": 0.07}"
gbdt,34,3.1884482561897904,4.667106366619275,0.005334956672042951,"{""subsample"": 1.0, ""n_estimators"": 700, ""min_samples_leaf"": 5, ""max_depth"": 3, ""loss"": ""huber"", ""learning_rate"": 0.07}"
gbdt,32,3.1381440559061216,4.683818127622621,-0.0017534996592513674,"{""subsample"": 0.8, ""n_estimators"": 500, ""min_samples_leaf"": 2, ""max_depth"": 4, ""loss"": ""huber"", ""learning_rate"": 0.1}"
gbdt,6,3.216919113659102,4.69571365997108,-0.06793488150335111,"{""subsample"": 1.0, ""n_estimators"": 350, ""min_samples_leaf"": 5, ""max_depth"": 4, ""loss"": ""huber"", ""learning_rate"": 0.04}"
gbdt,12,3.217174966438783,4.705802602889237,-0.02610467539939959,"{""subsample"": 0.8, ""n_estimators"": 700, ""min_samples_leaf"": 2, ""max_depth"": 4, ""loss"": ""huber"", ""learning_rate"": 0.07}"
gbdt,9,3.1952049831154388,4.7256798918033525,0.08326671615370393,"{""subsample"": 0.8, ""n_estimators"": 500, ""min_samples_leaf"": 8, ""max_depth"": 1, ""loss"": ""huber"", ""learning_rate"": 0.04}"
gbdt,22,3.201074493500281,4.72583677305967,0.059257667845241085,"{""subsample"": 0.8, ""n_estimators"": 700, ""min_samples_leaf"": 5, ""max_depth"": 2, ""loss"": ""huber"", ""learning_rate"": 0.04}"
gbdt,2,3.1096252192801437,4.73354485892795,0.03004378145873085,"{""subsample"": 0.8, ""n_estimators"": 500, ""min_samples_leaf"": 2, ""max_depth"": 2, ""loss"": ""huber"", ""learning_rate"": 0.07}"
random_forest,5,3.227470507009891,4.773230842855812,0.04771763128048556,"{""n_estimators"": 500, ""min_samples_leaf"": 5, ""max_features"": 0.7, ""max_depth"": 8}"
random_forest,12,3.336683515198792,4.777798586054752,0.07078731832574534,"{""n_estimators"": 500, ""min_samples_leaf"": 3, ""max_features"": 0.7, ""max_depth"": 4}"
gbdt,31,3.2529052843146338,4.779683039752858,0.06695924958109972,"{""subsample"": 1.0, ""n_estimators"": 500, ""min_samples_leaf"": 5, ""max_depth"": 1, ""loss"": ""huber"", ""learning_rate"": 0.07}"
gbdt,8,3.3012718908321017,4.786713381650948,-0.13975153926098197,"{""subsample"": 1.0, ""n_estimators"": 200, ""min_samples_leaf"": 5, ""max_depth"": 4, ""loss"": ""huber"", ""learning_rate"": 0.1}"
gbdt,21,3.252215416974388,4.79335878960098,-0.094068350795604,"{""subsample"": 1.0, ""n_estimators"": 500, ""min_samples_leaf"": 5, ""max_depth"": 3, ""loss"": ""huber"", ""learning_rate"": 0.02}"
random_forest,3,3.3482258687718454,4.7958378966535555,0.05293845551551368,"{""n_estimators"": 800, ""min_samples_leaf"": 2, ""max_features"": 0.7, ""max_depth"": 4}"
gbdt,38,3.240262543789879,4.805559144756527,-0.09649145237144535,"{""subsample"": 1.0, ""n_estimators"": 700, ""min_samples_leaf"": 3, ""max_depth"": 3, ""loss"": ""huber"", ""learning_rate"": 0.07}"
gbdt,35,3.3791780653248504,4.856535367930577,0.020968065404249586,"{""subsample"": 1.0, ""n_estimators"": 200, ""min_samples_leaf"": 5, ""max_depth"": 2, ""loss"": ""huber"", ""learning_rate"": 0.02}"
gbdt,25,3.3106435080716894,4.871761953500894,-0.03669268573012846,"{""subsample"": 1.0, ""n_estimators"": 500, ""min_samples_leaf"": 8, ""max_depth"": 2, ""loss"": ""huber"", ""learning_rate"": 0.07}"
gbdt,5,3.3266656839552384,4.950217176336124,-0.1283453430436404,"{""subsample"": 1.0, ""n_estimators"": 350, ""min_samples_leaf"": 5, ""max_depth"": 2, ""loss"": ""huber"", ""learning_rate"": 0.07}"
gbdt,18,3.2966349989502186,4.976207892530028,-0.10397780746085955,"{""subsample"": 0.8, ""n_estimators"": 500, ""min_samples_leaf"": 8, ""max_depth"": 2, ""loss"": ""huber"", ""learning_rate"": 0.1}"
gbdt,17,3.2193623943316187,4.998184849639791,-0.15226971144370763,"{""subsample"": 0.8, ""n_estimators"": 350, ""min_samples_leaf"": 2, ""max_depth"": 2, ""loss"": ""huber"", ""learning_rate"": 0.1}"
mlp,1,3.758468849566647,5.003362391999944,-0.023816940995118996,"{""solver"": ""lbfgs"", ""max_iter"": 3000, ""learning_rate_init"": 0.001, ""hidden_layer_sizes"": [64, 32, 16], ""early_stopping"": false, ""alpha"": 0.1, ""activation"": ""relu""}"
gbdt,3,3.415233648210316,5.076466757833672,-0.355552790360224,"{""subsample"": 1.0, ""n_estimators"": 500, ""min_samples_leaf"": 5, ""max_depth"": 3, ""loss"": ""huber"", ""learning_rate"": 0.1}"
random_forest,16,3.6144690526018426,5.1496670329533565,-0.060972180671723775,"{""n_estimators"": 800, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": 8}"
random_forest,19,3.6384967702786204,5.153347418328886,-0.05470878277256874,"{""n_estimators"": 800, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 6}"
gbdt,33,3.4831912317636933,5.1771405525993845,-0.17395753082015997,"{""subsample"": 1.0, ""n_estimators"": 350, ""min_samples_leaf"": 3, ""max_depth"": 1, ""loss"": ""huber"", ""learning_rate"": 0.1}"
random_forest,30,3.6303723814243334,5.184272202805361,-0.08035313252586879,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": 8}"
random_forest,22,3.66392398330517,5.188924028068966,-0.07169812797688516,"{""n_estimators"": 500, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 6}"
random_forest,7,3.6950419617597494,5.191815935606223,-0.08211104893323212,"{""n_estimators"": 300, ""min_samples_leaf"": 3, ""max_features"": ""sqrt"", ""max_depth"": null}"
random_forest,13,3.6877477816361925,5.200425659655076,-0.0822130529067365,"{""n_estimators"": 800, ""min_samples_leaf"": 3, ""max_features"": ""sqrt"", ""max_depth"": 8}"
random_forest,29,3.7275084024635565,5.221943805547335,-0.09059284161970443,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": 6}"
