model_name,family,mae,rmse,r2
tuned_ridge,ridge,2.195419605464603,2.9394206680869317,0.5951391651914194
tuned_mlp,mlp,2.2564852997223537,2.9700139477728476,0.5007399003187482
tuned_gbdt,gbdt,2.779377039945469,4.1219713867775685,0.3127206011057253
tuned_random_forest,random_forest,3.0167159128455046,4.429027096392295,0.1825096899218575
bsm_closed_form_baseline,bsm,3.6451248229956668,4.622907659411253,-0.10196338221438761
